Instance,BKS,Cut_best,Acc_best,Cut_avg,Acc_avg,Std,t_avg,# Opts/ Total runs
G1,11624,11624.0,100.00,11624.00,100.00,0.00,7.403,1.0/1
G2,11620,11594.0,99.78,11594.00,99.78,0.00,7.342,0.0/1
G3,11622,11608.0,99.88,11608.00,99.88,0.00,7.267,0.0/1
G4,11646,11638.0,99.93,11638.00,99.93,0.00,5.144,0.0/1
G5,11631,11613.0,99.85,11613.00,99.85,0.00,7.417,0.0/1
G6,2178,2158.0,99.08,2158.00,99.08,0.00,7.431,0.0/1
G7,2006,2006.0,100.00,2006.00,100.00,0.00,5.158,1.0/1
G8,2005,1991.0,99.30,1991.00,99.30,0.00,5.194,0.0/1
G9,2054,2046.0,99.61,2046.00,99.61,0.00,5.112,0.0/1
