Instance,BKS,Cut_best,Acc_best,Cut_avg,Acc_avg,Std,t_avg,# Opts/ Total runs
G2,11620,11620.0,100.00,11583.80,99.69,0.12,15.702,2.0/500
G3,11622,11622.0,100.00,11585.28,99.68,0.16,15.535,20.0/500
G4,11646,11646.0,100.00,11611.43,99.70,0.18,15.636,22.0/500
G5,11631,11631.0,100.00,11595.33,99.69,0.16,15.503,6.0/500
G6,2178,2178.0,100.00,2140.35,98.27,0.89,15.457,12.0/500
G7,2006,2006.0,100.00,1971.38,98.27,0.80,15.408,4.0/500
G8,2005,2005.0,100.00,1977.59,98.63,0.69,15.254,7.0/500
G9,2054,2054.0,100.00,2019.06,98.30,0.86,15.519,10.0/500
